"ExperimentId","GeneratedAtUtc","TrajectoryId","NodeId","Day","SignalType","EntityId","PreviousDay","PreviousValue","HalfLifeDays","DecayFactor","ExpectedDecayedValue","ObservedDecayedValue"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day01_IceBaseline","1","WeaponEffectiveUse","Sword","0","360","15","0.954842","343.743","343.743"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day01_IceBaseline","1","BossRecencyWeight","IceDragon","0","1","4","0.840896","0.840896","0.840896"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day04_IceSettled","4","WeaponEffectiveUse","Sword","1","433.743","15","0.870551","377.5952","377.5952"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day04_IceSettled","4","BossRecencyWeight","IceDragon","1","0.840896","4","0.594604","0.5","0.5"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day08_ForestCommitment","8","WeaponEffectiveUse","Sword","4","487.5952","15","0.831238","405.3076","405.3076"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day08_ForestCommitment","8","BossRecencyWeight","IceDragon","4","0.5","4","0.5","0.25","0.25"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day14_ForestMastery","14","WeaponEffectiveUse","Sword","8","430.3076","15","0.757858","326.1122","326.1122"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day14_ForestMastery","14","WeaponEffectiveUse","Bow","8","300","15","0.757858","227.3575","227.3575"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day14_ForestMastery","14","BossRecencyWeight","IceDragon","8","0.25","4","0.353553","0.088388","0.088388"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day14_ForestMastery","14","RegionRecentVisit","ForestRuins","8","650","20","0.812252","527.9641","527.9641"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day20_OceanDiscovery","20","WeaponEffectiveUse","Sword","14","326.1122","15","0.757858","247.1468","247.1468"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Dynamic_Player_01_Ice_To_Forest_Ocean_Ice","Day20_OceanDiscovery","20","WeaponEffectiveUse","Bow","14","587.3575","15","0.757858","445.1337","445.1337"
