"ExperimentId","GeneratedAtUtc","ScenarioId","ParameterGroup","ParameterName","Direction","ProfileId","OutputTheme","FallbackUsed","ThemeConfidence","ThemeMargin","Ice","Forest","Galaxy","Ocean","Holy","WeaponTopModule","WeaponSelectedModule","BossTopModule","BossSelectedModule","RegionTopModule","RegionSelectedModule","ThemeChangedVsBaseline","TopSlotsChangedVsBaseline"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_01","Ice","FALSE","0.626139","0.438217","0.626139","0.187922","0","0.135717","0.138269","Weapon_Bow","Weapon_Bow","Boss_IceDragon","Boss_SeaTurtle","Region_SnowfieldRuins","Region_SnowfieldRuins","FALSE","FALSE"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_02","Galaxy","FALSE","0.654759","0.480629","0.052703","0.080269","0.654759","0.17413","0.140641","Weapon_Axe","Weapon_Axe","Boss_StarGiant","Boss_StarGiant","Region_SkyRuins","Region_SkyRuins","FALSE","FALSE"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_03","Holy","FALSE","0.709055","0.560051","0.149004","0.060339","0.13866","0.090927","0.709055","Weapon_Staff","Weapon_Staff","Boss_IceDragon","Boss_AncientCultLeader","Region_MonasteryRuins","Region_MonasteryRuins","FALSE","FALSE"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_04","Neutral","TRUE","0.376074","0.012291","0.376074","0.363783","0.124286","0.064395","0.122309","Weapon_Sword","Weapon_Bow","Boss_StarGiant","Boss_StarGiant","Region_ForestRuins","Region_ForestRuins","FALSE","FALSE"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_05","Neutral","TRUE","0.233309","0.113173","0.06656","0.233309","0.120135","0","0.029996","Weapon_Dagger","Weapon_Staff","Boss_Goblin","Boss_Goblin","","","FALSE","FALSE"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_06","Ocean","FALSE","0.606793","0.418165","0.09991","0.102251","0.035","0.606793","0.188629","Weapon_Staff","Weapon_Staff","Boss_SeaTurtle","Boss_SeaTurtle","Region_OceanRuins","Region_OceanRuins","FALSE","FALSE"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_07","Galaxy","FALSE","0.665976","0.459489","0.163203","0.037094","0.665976","0.065142","0.206488","Weapon_Hammer","Weapon_Hammer","Boss_IceDragon","Boss_StarGiant","Region_SkyRuins","Region_SkyRuins","FALSE","FALSE"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_08","Neutral","TRUE","0.461292","0.110681","0.350611","0.461292","0.014207","0.050012","0.110945","Weapon_Sword","Weapon_Sword","Boss_Goblin","Boss_Goblin","Region_ForestRuins","Region_ForestRuins","FALSE","FALSE"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_09","Neutral","TRUE","0.173111","0.032705","0.130808","0.005832","0.173111","0.140407","0.086506","Weapon_Axe","Weapon_Axe","Boss_StarGiant","Boss_StarGiant","","","FALSE","FALSE"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","Player_10","Neutral","TRUE","0.278225","0.025242","0.278225","0.148437","0.174857","0.252983","0.245448","Weapon_Sword","Weapon_Axe","Boss_IceDragon","Boss_SeaTurtle","Region_OceanRuins","Region_MonasteryRuins","FALSE","FALSE"
