"ExperimentId","GeneratedAtUtc","ScenarioId","ParameterGroup","ParameterName","Direction","Multiplier","BaselineParameterValues","TestedParameterValues","StaticSeed","DynamicSeedBase","StaticProfileCount","StaticExplicitThemeCount","StaticFallbackCount","StaticFallbackRate","StaticThemeSemanticSeparation","DeltaStaticThemeSemanticSeparation","StaticTopSlotDifference","DeltaStaticTopSlotDifference","StaticThemeChangesVsBaseline","StaticTopSlotChangesVsBaseline","DynamicNodeCount","DynamicThemeHitCount","DynamicThemeHitRate","DynamicTransitionNodeCount","DynamicTransitionHitCount","DynamicTransitionHitRate","DynamicFallbackCount","DynamicThemeChangesVsBaseline","DecayAuditRecordCount","DecayCorrectRecordCount","DecayCorrectness"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","Baseline","Baseline","No parameter change","Baseline","1","Unmodified final configuration","Unmodified final configuration","99","99","12","5","6","0.5","0.443694","0","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","WeaponChoiceShareWeight_Minus10Percent","Weapon slot score weights","WeaponChoiceShareWeight","Minus10Percent","0.9","WeaponChoiceShareWeight=0.55; WeaponUseRateWeight=0.3; WeaponInvestmentShareWeight=0.15","WeaponChoiceShareWeight=0.52381; WeaponUseRateWeight=0.31746; WeaponInvestmentShareWeight=0.15873","99","99","12","5","6","0.5","0.443387","-0.000306","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","WeaponChoiceShareWeight_Plus10Percent","Weapon slot score weights","WeaponChoiceShareWeight","Plus10Percent","1.1","WeaponChoiceShareWeight=0.55; WeaponUseRateWeight=0.3; WeaponInvestmentShareWeight=0.15","WeaponChoiceShareWeight=0.57346; WeaponUseRateWeight=0.28436; WeaponInvestmentShareWeight=0.14218","99","99","12","5","6","0.5","0.443981","0.000288","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","WeaponUseRateWeight_Minus10Percent","Weapon slot score weights","WeaponUseRateWeight","Minus10Percent","0.9","WeaponChoiceShareWeight=0.55; WeaponUseRateWeight=0.3; WeaponInvestmentShareWeight=0.15","WeaponChoiceShareWeight=0.56701; WeaponUseRateWeight=0.278351; WeaponInvestmentShareWeight=0.154639","99","99","12","5","6","0.5","0.444075","0.000381","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","WeaponUseRateWeight_Plus10Percent","Weapon slot score weights","WeaponUseRateWeight","Plus10Percent","1.1","WeaponChoiceShareWeight=0.55; WeaponUseRateWeight=0.3; WeaponInvestmentShareWeight=0.15","WeaponChoiceShareWeight=0.533981; WeaponUseRateWeight=0.320388; WeaponInvestmentShareWeight=0.145631","99","99","12","5","6","0.5","0.443356","-0.000338","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","WeaponInvestmentShareWeight_Minus10Percent","Weapon slot score weights","WeaponInvestmentShareWeight","Minus10Percent","0.9","WeaponChoiceShareWeight=0.55; WeaponUseRateWeight=0.3; WeaponInvestmentShareWeight=0.15","WeaponChoiceShareWeight=0.558376; WeaponUseRateWeight=0.304569; WeaponInvestmentShareWeight=0.137056","99","99","12","5","6","0.5","0.443632","-0.000062","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","WeaponInvestmentShareWeight_Plus10Percent","Weapon slot score weights","WeaponInvestmentShareWeight","Plus10Percent","1.1","WeaponChoiceShareWeight=0.55; WeaponUseRateWeight=0.3; WeaponInvestmentShareWeight=0.15","WeaponChoiceShareWeight=0.541872; WeaponUseRateWeight=0.295567; WeaponInvestmentShareWeight=0.162562","99","99","12","5","6","0.5","0.443755","0.000061","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","BossDifficultyWeight_Minus10Percent","Boss base-value weights","BossDifficultyWeight","Minus10Percent","0.9","BossDifficultyWeight=0.7; BossRarityWeight=0.3","BossDifficultyWeight=0.677419; BossRarityWeight=0.322581","99","99","12","5","6","0.5","0.443789","0.000095","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","BossDifficultyWeight_Plus10Percent","Boss base-value weights","BossDifficultyWeight","Plus10Percent","1.1","BossDifficultyWeight=0.7; BossRarityWeight=0.3","BossDifficultyWeight=0.719626; BossRarityWeight=0.280374","99","99","12","5","6","0.5","0.443612","-0.000082","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","BossRarityWeight_Minus10Percent","Boss base-value weights","BossRarityWeight","Minus10Percent","0.9","BossDifficultyWeight=0.7; BossRarityWeight=0.3","BossDifficultyWeight=0.72165; BossRarityWeight=0.278351","99","99","12","5","6","0.5","0.443603","-0.00009","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","BossRarityWeight_Plus10Percent","Boss base-value weights","BossRarityWeight","Plus10Percent","1.1","BossDifficultyWeight=0.7; BossRarityWeight=0.3","BossDifficultyWeight=0.679612; BossRarityWeight=0.320388","99","99","12","5","6","0.5","0.443779","0.000086","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","BossWinRateWeight_Minus10Percent","Boss performance weight","BossWinRateWeight","Minus10Percent","0.9","BossWinRateWeight=0.25","BossWinRateWeight=0.225","99","99","12","5","6","0.5","0.443795","0.000101","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","BossWinRateWeight_Plus10Percent","Boss performance weight","BossWinRateWeight","Plus10Percent","1.1","BossWinRateWeight=0.25","BossWinRateWeight=0.275","99","99","12","5","6","0.5","0.443588","-0.000105","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","RegionExplorationWeight_Minus10Percent","Region depth weights","RegionExplorationWeight","Minus10Percent","0.9","RegionExplorationWeight=0.6; RegionQuestWeight=0.4","RegionExplorationWeight=0.574468; RegionQuestWeight=0.425532","99","99","12","5","6","0.5","0.443699","0.000005","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
"PCG_VFX_OAT_Sensitivity_20260826_153906","2026-08-26T15:39:06.2831112Z","RegionExplorationWeight_Plus10Percent","Region depth weights","RegionExplorationWeight","Plus10Percent","1.1","RegionExplorationWeight=0.6; RegionQuestWeight=0.4","RegionExplorationWeight=0.622642; RegionQuestWeight=0.377359","99","99","12","5","6","0.5","0.443689","-0.000005","0.848485","0","0","0","7","5","0.714286","3","1","0.333333","0","0","25","25","1"
