"ExperimentId","GeneratedAtUtc","ProfileId","ProfileIntent","OutputTheme","FallbackUsed","ThemeConfidence","ThemeMargin","Ice","Forest","Galaxy","Ocean","Holy","WeaponTopModule","WeaponAtlasIndex","BossTopModule","BossAtlasIndex","RegionTopModule","RegionAtlasIndex"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_01","clear_bow_ice_snowfield","Ice","FALSE","0.626139","0.438217","0.626139","0.187922","0","0.135717","0.138269","Weapon_Bow","1","Boss_IceDragon","0","Region_SnowfieldRuins","0"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_02","clear_axe_star_sky","Galaxy","FALSE","0.654759","0.480629","0.052703","0.080269","0.654759","0.17413","0.140641","Weapon_Axe","2","Boss_StarGiant","3","Region_SkyRuins","3"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_03","clear_staff_cult_monastery","Holy","FALSE","0.709055","0.560051","0.149004","0.060339","0.13866","0.090927","0.709055","Weapon_Staff","3","Boss_IceDragon","0","Region_MonasteryRuins","4"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_04","mixed_bow_sword_regions_close","Neutral","TRUE","0.376074","0.012291","0.376074","0.363783","0.124286","0.064395","0.122309","Weapon_Sword","0","Boss_StarGiant","3","Region_ForestRuins","1"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_05","region_079_boundary_no_region_candidate","Neutral","TRUE","0.233309","0.113173","0.06656","0.233309","0.120135","0","0.029996","Weapon_Dagger","4","Boss_Goblin","1","","-1"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_06","region_080_boundary_exact_candidate","Ocean","FALSE","0.606793","0.418165","0.09991","0.102251","0.035","0.606793","0.188629","Weapon_Staff","3","Boss_SeaTurtle","2","Region_OceanRuins","2"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_07","region_081_boundary_above_candidate","Galaxy","FALSE","0.665976","0.459489","0.163203","0.037094","0.665976","0.065142","0.206488","Weapon_Hammer","5","Boss_IceDragon","0","Region_SkyRuins","3"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_08","forest_boundary_with_valid_boss","Neutral","TRUE","0.461292","0.110681","0.350611","0.461292","0.014207","0.050012","0.110945","Weapon_Sword","0","Boss_Goblin","1","Region_ForestRuins","1"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_09","no_valid_region_candidate","Neutral","TRUE","0.173111","0.032705","0.130808","0.005832","0.173111","0.140407","0.086506","Weapon_Axe","2","Boss_StarGiant","3","","-1"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_10","all_weapons_equal","Neutral","TRUE","0.278225","0.025242","0.278225","0.148437","0.174857","0.252983","0.245448","Weapon_Sword","0","Boss_IceDragon","0","Region_OceanRuins","2"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_11","balanced_dagger_forest_candidate","Forest","FALSE","0.581922","0.43414","0.042463","0.581922","0.109928","0.147782","0.127011","Weapon_Dagger","4","Boss_SeaTurtle","2","Region_ForestRuins","1"
"PCG_VFX_Evaluation_20260824_105104","2026-08-24T10:51:04.0154452Z","Player_12","low_progression_no_region","Neutral","TRUE","0.266808","0.122564","0.144244","0.266808","0.038949","0","0","Weapon_Sword","0","Boss_Goblin","1","","-1"
